Designator,Mid X,Mid Y,Rotation,Layer
,85.814,-215.867,180.0,top
J1,121.501,-93.185,0.0,top
J2,122.771,-89.375,270.0,top
J3,88.268,-136.831,270.0,top
J4,122.776,-85.438,270.0,top
J5,122.776,-81.501,270.0,top
R1,122.644,-73.881,0.0,top
R10,111.698,-212.131,0.0,top
R2,122.644,-77.183,0.0,top
R3,123.914,-61.689,0.0,top
R4,123.914,-58.514,180.0,top
R5,123.914,-110.711,180.0,top
R6,123.914,-107.423,180.0,top
R7,87.112,-207.231,90.0,top
R8,91.162,-207.231,90.0,top
R9,95.212,-207.231,90.0,top
U1,98.89432,-82.78828,180.0,top
U10,117.398,-161.761,90.0,top
U11,122.718,-66.351,0.0,top
U12,124.963,-101.571,270.0,top
U13,92.178,-214.631,180.0,top
U14,111.748,-204.331,0.0,top
U2,98.198,-147.531,270.0,top
U3,85.198,-169.721,270.0,top
U4,85.198,-190.041,270.0,top
U5,86.998,-147.511,270.0,top
U6,86.998,-120.481,270.0,top
U7,125.898,-152.111,270.0,top
U8,122.644,-70.579,0.0,top
U9,117.818,-128.781,270.0,top
